timestamp,container,cpu,mem
1757310618,cache_backend_container,2.47%,94.84MiB / 7.653GiB
1757310618,cache_postgres_container,1.68%,74.66MiB / 7.653GiB
1757310618,cache_redis_container,0.75%,9.711MiB / 7.653GiB
1757310626,cache_backend_container,1.01%,94.61MiB / 7.653GiB
1757310626,cache_postgres_container,0.00%,54.67MiB / 7.653GiB
1757310626,cache_redis_container,0.74%,9.961MiB / 7.653GiB
1757310634,cache_backend_container,2.08%,94.39MiB / 7.653GiB
1757310634,cache_postgres_container,2.02%,61.47MiB / 7.653GiB
1757310634,cache_redis_container,0.68%,9.961MiB / 7.653GiB
1757310641,cache_backend_container,1.33%,94.63MiB / 7.653GiB
1757310641,cache_postgres_container,0.00%,66.08MiB / 7.653GiB
1757310641,cache_redis_container,0.55%,9.711MiB / 7.653GiB
1757310649,cache_backend_container,1.38%,95.11MiB / 7.653GiB
1757310649,cache_postgres_container,1.74%,72.46MiB / 7.653GiB
1757310649,cache_redis_container,0.84%,9.961MiB / 7.653GiB
1757310656,cache_backend_container,1.22%,94.64MiB / 7.653GiB
1757310656,cache_postgres_container,0.00%,76.83MiB / 7.653GiB
1757310656,cache_redis_container,0.61%,9.477MiB / 7.653GiB
1757310664,cache_backend_container,1.23%,94.89MiB / 7.653GiB
1757310664,cache_postgres_container,0.00%,59.09MiB / 7.653GiB
1757310664,cache_redis_container,0.49%,9.711MiB / 7.653GiB
1757310672,cache_backend_container,1.08%,94.63MiB / 7.653GiB
1757310672,cache_postgres_container,2.75%,64.22MiB / 7.653GiB
1757310672,cache_redis_container,1.00%,9.711MiB / 7.653GiB
1757310679,cache_backend_container,1.35%,94.66MiB / 7.653GiB
1757310679,cache_postgres_container,0.02%,70.25MiB / 7.653GiB
1757310679,cache_redis_container,0.65%,9.461MiB / 7.653GiB
1757310687,cache_backend_container,2.95%,95.13MiB / 7.653GiB
1757310687,cache_postgres_container,0.00%,74.58MiB / 7.653GiB
1757310687,cache_redis_container,0.74%,9.461MiB / 7.653GiB
1757310694,cache_backend_container,1.26%,94.37MiB / 7.653GiB
1757310694,cache_postgres_container,0.71%,57.1MiB / 7.653GiB
1757310694,cache_redis_container,0.82%,9.711MiB / 7.653GiB
1757310702,cache_backend_container,2.79%,94.89MiB / 7.653GiB
1757310702,cache_postgres_container,1.61%,63.57MiB / 7.653GiB
1757310702,cache_redis_container,0.59%,9.711MiB / 7.653GiB
1757310710,cache_backend_container,0.60%,94.87MiB / 7.653GiB
1757310710,cache_postgres_container,0.01%,67.95MiB / 7.653GiB
1757310710,cache_redis_container,0.71%,9.477MiB / 7.653GiB
1757310717,cache_backend_container,1.45%,94.63MiB / 7.653GiB
1757310717,cache_postgres_container,1.43%,74.66MiB / 7.653GiB
1757310717,cache_redis_container,0.68%,9.711MiB / 7.653GiB
1757310725,cache_backend_container,1.25%,94.63MiB / 7.653GiB
1757310725,cache_postgres_container,0.02%,79.02MiB / 7.653GiB
1757310725,cache_redis_container,0.79%,9.461MiB / 7.653GiB
1757310732,cache_backend_container,3.44%,94.86MiB / 7.653GiB
1757310732,cache_postgres_container,1.80%,61.57MiB / 7.653GiB
1757310732,cache_redis_container,1.33%,9.711MiB / 7.653GiB
1757310740,cache_backend_container,1.27%,94.64MiB / 7.653GiB
1757310740,cache_postgres_container,0.00%,65.73MiB / 7.653GiB
1757310740,cache_redis_container,0.50%,9.711MiB / 7.653GiB
1757310748,cache_backend_container,0.89%,94.43MiB / 7.653GiB
1757310748,cache_postgres_container,1.62%,72.64MiB / 7.653GiB
1757310748,cache_redis_container,0.62%,9.711MiB / 7.653GiB
1757310755,cache_backend_container,1.31%,94.66MiB / 7.653GiB
1757310755,cache_postgres_container,0.00%,76.86MiB / 7.653GiB
1757310755,cache_redis_container,0.74%,9.711MiB / 7.653GiB
1757310763,cache_backend_container,1.29%,94.41MiB / 7.653GiB
1757310763,cache_postgres_container,0.02%,83.43MiB / 7.653GiB
1757310763,cache_redis_container,0.50%,9.477MiB / 7.653GiB
1757310770,cache_backend_container,1.25%,95.1MiB / 7.653GiB
1757310770,cache_postgres_container,0.00%,63.55MiB / 7.653GiB
1757310770,cache_redis_container,0.63%,9.711MiB / 7.653GiB
1757310778,cache_backend_container,1.37%,94.63MiB / 7.653GiB
1757310778,cache_postgres_container,0.02%,70.16MiB / 7.653GiB
1757310778,cache_redis_container,0.47%,9.453MiB / 7.653GiB
1757310786,cache_backend_container,2.37%,94.45MiB / 7.653GiB
1757310786,cache_postgres_container,0.99%,76.74MiB / 7.653GiB
1757310786,cache_redis_container,0.62%,9.703MiB / 7.653GiB
1757310793,cache_backend_container,1.21%,94.64MiB / 7.653GiB
1757310793,cache_postgres_container,0.03%,81.29MiB / 7.653GiB
1757310793,cache_redis_container,0.74%,9.469MiB / 7.653GiB
1757310801,cache_backend_container,3.23%,94.38MiB / 7.653GiB
1757310801,cache_postgres_container,0.00%,85.64MiB / 7.653GiB
1757310801,cache_redis_container,0.59%,9.707MiB / 7.653GiB
1757310808,cache_backend_container,0.99%,94.62MiB / 7.653GiB
1757310808,cache_postgres_container,1.80%,67.94MiB / 7.653GiB
1757310808,cache_redis_container,1.01%,9.703MiB / 7.653GiB
1757310816,cache_backend_container,3.11%,94.67MiB / 7.653GiB
1757310816,cache_postgres_container,0.00%,72.38MiB / 7.653GiB
1757310816,cache_redis_container,0.85%,9.469MiB / 7.653GiB
1757310824,cache_backend_container,1.37%,94.66MiB / 7.653GiB
1757310824,cache_postgres_container,0.65%,79.25MiB / 7.653GiB
1757310824,cache_redis_container,1.01%,9.703MiB / 7.653GiB
1757310831,cache_backend_container,1.08%,94.42MiB / 7.653GiB
1757310831,cache_postgres_container,2.72%,86.88MiB / 7.653GiB
1757310831,cache_redis_container,0.87%,9.453MiB / 7.653GiB
1757310839,cache_backend_container,1.74%,94.64MiB / 7.653GiB
1757310839,cache_postgres_container,0.00%,65.75MiB / 7.653GiB
1757310839,cache_redis_container,1.26%,9.703MiB / 7.653GiB
1757310846,cache_backend_container,1.04%,94.39MiB / 7.653GiB
1757310846,cache_postgres_container,1.62%,72.38MiB / 7.653GiB
1757310846,cache_redis_container,0.75%,9.469MiB / 7.653GiB
1757310854,cache_backend_container,1.33%,94.66MiB / 7.653GiB
1757310854,cache_postgres_container,0.66%,76.84MiB / 7.653GiB
1757310854,cache_redis_container,0.69%,9.953MiB / 7.653GiB
1757310862,cache_backend_container,0.59%,94.42MiB / 7.653GiB
1757310862,cache_postgres_container,3.08%,83.96MiB / 7.653GiB
1757310862,cache_redis_container,0.57%,9.469MiB / 7.653GiB
1757310869,cache_backend_container,1.29%,94.42MiB / 7.653GiB
1757310869,cache_postgres_container,0.07%,88.11MiB / 7.653GiB
1757310869,cache_redis_container,0.95%,9.703MiB / 7.653GiB
1757310877,cache_backend_container,1.15%,94.66MiB / 7.653GiB
1757310877,cache_postgres_container,1.71%,70.21MiB / 7.653GiB
1757310877,cache_redis_container,0.84%,9.469MiB / 7.653GiB
1757310884,cache_backend_container,1.28%,94.65MiB / 7.653GiB
1757310884,cache_postgres_container,0.01%,74.57MiB / 7.653GiB
1757310884,cache_redis_container,0.65%,9.703MiB / 7.653GiB
1757310892,cache_backend_container,1.36%,94.42MiB / 7.653GiB
1757310892,cache_postgres_container,2.73%,81.66MiB / 7.653GiB
1757310892,cache_redis_container,0.52%,9.469MiB / 7.653GiB
1757310900,cache_backend_container,1.54%,94.42MiB / 7.653GiB
1757310900,cache_postgres_container,1.80%,87.9MiB / 7.653GiB
1757310900,cache_redis_container,0.69%,9.453MiB / 7.653GiB
1757310907,cache_backend_container,1.01%,94.66MiB / 7.653GiB
1757310907,cache_postgres_container,0.02%,92.33MiB / 7.653GiB
1757310907,cache_redis_container,0.57%,9.473MiB / 7.653GiB
1757310915,cache_backend_container,2.80%,94.64MiB / 7.653GiB
