timestamp,container,cpu,mem
1757307804,backend_container,1.58%,84.11MiB / 7.653GiB
1757307804,postgres_container,1.58%,37.49MiB / 7.653GiB
1757307811,backend_container,1.33%,83.89MiB / 7.653GiB
1757307811,postgres_container,0.00%,39.71MiB / 7.653GiB
1757307819,backend_container,2.26%,84.39MiB / 7.653GiB
1757307819,postgres_container,1.44%,41.92MiB / 7.653GiB
1757307826,backend_container,1.33%,83.9MiB / 7.653GiB
1757307826,postgres_container,2.85%,44.29MiB / 7.653GiB
1757307834,backend_container,1.16%,84.41MiB / 7.653GiB
1757307834,postgres_container,1.88%,48.56MiB / 7.653GiB
1757307842,backend_container,1.25%,84.16MiB / 7.653GiB
1757307842,postgres_container,0.00%,50.76MiB / 7.653GiB
1757307849,backend_container,2.94%,84.69MiB / 7.653GiB
1757307849,postgres_container,0.02%,53.03MiB / 7.653GiB
1757307857,backend_container,1.09%,84.25MiB / 7.653GiB
1757307857,postgres_container,2.95%,55.48MiB / 7.653GiB
1757307864,backend_container,1.19%,84.54MiB / 7.653GiB
1757307864,postgres_container,1.63%,59.68MiB / 7.653GiB
1757307872,backend_container,2.80%,84.32MiB / 7.653GiB
1757307872,postgres_container,0.00%,37.48MiB / 7.653GiB
1757307880,backend_container,1.20%,84.31MiB / 7.653GiB
1757307880,postgres_container,1.66%,39.77MiB / 7.653GiB
1757307887,backend_container,1.41%,84.06MiB / 7.653GiB
1757307887,postgres_container,1.69%,44.22MiB / 7.653GiB
1757307895,backend_container,2.30%,84.81MiB / 7.653GiB
1757307895,postgres_container,1.35%,46.4MiB / 7.653GiB
1757307901,backend_container,0.42%,84.52MiB / 7.653GiB
1757307901,postgres_container,0.00%,48.58MiB / 7.653GiB
1757307909,backend_container,3.12%,84.82MiB / 7.653GiB
1757307909,postgres_container,0.02%,50.79MiB / 7.653GiB
1757307917,backend_container,0.64%,84.33MiB / 7.653GiB
1757307917,postgres_container,0.02%,53.01MiB / 7.653GiB
1757307924,backend_container,1.19%,84.85MiB / 7.653GiB
1757307924,postgres_container,1.40%,57.55MiB / 7.653GiB
1757307932,backend_container,1.27%,84.35MiB / 7.653GiB
1757307932,postgres_container,0.01%,59.68MiB / 7.653GiB
1757307939,backend_container,3.14%,84.59MiB / 7.653GiB
1757307939,postgres_container,0.00%,37.93MiB / 7.653GiB
1757307947,backend_container,2.94%,84.84MiB / 7.653GiB
1757307947,postgres_container,3.03%,39.9MiB / 7.653GiB
1757307955,backend_container,1.36%,84.58MiB / 7.653GiB
1757307955,postgres_container,2.13%,44.28MiB / 7.653GiB
1757307962,backend_container,1.27%,84.1MiB / 7.653GiB
1757307962,postgres_container,2.04%,46.52MiB / 7.653GiB
1757307970,backend_container,1.31%,84.13MiB / 7.653GiB
1757307970,postgres_container,1.92%,48.68MiB / 7.653GiB
1757307977,backend_container,2.77%,84.84MiB / 7.653GiB
1757307977,postgres_container,2.71%,51.09MiB / 7.653GiB
1757307985,backend_container,1.33%,84.63MiB / 7.653GiB
1757307985,postgres_container,1.36%,55.29MiB / 7.653GiB
1757307992,backend_container,3.07%,84.64MiB / 7.653GiB
1757307992,postgres_container,0.00%,57.58MiB / 7.653GiB
1757308000,backend_container,1.30%,84.36MiB / 7.653GiB
1757308000,postgres_container,0.01%,59.7MiB / 7.653GiB
1757308008,backend_container,1.20%,84.12MiB / 7.653GiB
1757308008,postgres_container,1.40%,64.45MiB / 7.653GiB
1757308015,backend_container,1.27%,84.39MiB / 7.653GiB
1757308015,postgres_container,0.00%,41.91MiB / 7.653GiB
1757308023,backend_container,3.00%,84.89MiB / 7.653GiB
1757308023,postgres_container,0.00%,44.12MiB / 7.653GiB
1757308030,backend_container,1.18%,84.4MiB / 7.653GiB
1757308030,postgres_container,0.04%,46.38MiB / 7.653GiB
1757308038,backend_container,1.30%,84.16MiB / 7.653GiB
1757308038,postgres_container,4.61%,51.08MiB / 7.653GiB
1757308046,backend_container,1.28%,84.65MiB / 7.653GiB
1757308046,postgres_container,0.00%,53.18MiB / 7.653GiB
1757308053,backend_container,3.17%,84.44MiB / 7.653GiB
1757308053,postgres_container,2.03%,55.27MiB / 7.653GiB
1757308060,backend_container,0.99%,84.9MiB / 7.653GiB
1757308060,postgres_container,2.03%,57.57MiB / 7.653GiB
1757308067,backend_container,3.09%,84.65MiB / 7.653GiB
1757308067,postgres_container,0.00%,59.69MiB / 7.653GiB
1757308075,backend_container,1.20%,84.39MiB / 7.653GiB
1757308075,postgres_container,0.00%,64.4MiB / 7.653GiB
1757308083,backend_container,1.02%,84.46MiB / 7.653GiB
1757308083,postgres_container,4.58%,42.19MiB / 7.653GiB
1757308090,backend_container,1.28%,84.2MiB / 7.653GiB
1757308090,postgres_container,0.02%,44.31MiB / 7.653GiB
1757308098,backend_container,1.20%,84.43MiB / 7.653GiB
1757308098,postgres_container,3.99%,48.69MiB / 7.653GiB
1757308105,backend_container,1.22%,84.4MiB / 7.653GiB
1757308105,postgres_container,0.00%,48.57MiB / 7.653GiB
