timestamp,container,cpu,mem
1757318364,full_nginx_container,0.11%,10.46MiB / 7.653GiB
1757318364,full_backend_container,2.86%,104.9MiB / 7.653GiB
1757318364,postgres_container,0.75%,36.79MiB / 7.653GiB
1757318364,full_redis_container,0.75%,9.879MiB / 7.653GiB
1757318364,elasticsearch_container,0.49%,1008MiB / 7.653GiB
1757318372,full_nginx_container,0.00%,10.46MiB / 7.653GiB
1757318372,full_backend_container,1.43%,105.1MiB / 7.653GiB
1757318372,postgres_container,0.01%,36.79MiB / 7.653GiB
1757318372,full_redis_container,0.80%,9.879MiB / 7.653GiB
1757318372,elasticsearch_container,0.62%,1011MiB / 7.653GiB
1757318379,full_nginx_container,0.00%,10.46MiB / 7.653GiB
1757318379,full_backend_container,1.27%,105.1MiB / 7.653GiB
1757318379,postgres_container,2.82%,37.3MiB / 7.653GiB
1757318379,full_redis_container,0.84%,9.879MiB / 7.653GiB
1757318379,elasticsearch_container,1.06%,1011MiB / 7.653GiB
1757318387,full_nginx_container,0.00%,10.46MiB / 7.653GiB
1757318387,full_backend_container,0.96%,104.9MiB / 7.653GiB
1757318387,postgres_container,0.01%,36.79MiB / 7.653GiB
1757318387,full_redis_container,0.75%,9.879MiB / 7.653GiB
1757318387,elasticsearch_container,0.53%,1013MiB / 7.653GiB
1757318394,full_nginx_container,0.12%,10.46MiB / 7.653GiB
1757318394,full_backend_container,3.29%,104.9MiB / 7.653GiB
1757318394,postgres_container,0.80%,36.79MiB / 7.653GiB
1757318394,full_redis_container,0.64%,9.879MiB / 7.653GiB
1757318394,elasticsearch_container,0.66%,1019MiB / 7.653GiB
1757318402,full_nginx_container,0.00%,10.46MiB / 7.653GiB
1757318402,full_backend_container,0.83%,104.9MiB / 7.653GiB
1757318402,postgres_container,0.01%,36.79MiB / 7.653GiB
1757318402,full_redis_container,0.64%,9.879MiB / 7.653GiB
1757318402,elasticsearch_container,0.96%,1019MiB / 7.653GiB
1757318410,full_nginx_container,0.00%,10.46MiB / 7.653GiB
1757318410,full_backend_container,1.42%,104.9MiB / 7.653GiB
1757318410,postgres_container,3.33%,36.89MiB / 7.653GiB
1757318410,full_redis_container,0.62%,9.629MiB / 7.653GiB
1757318410,elasticsearch_container,0.72%,1021MiB / 7.653GiB
1757318417,full_nginx_container,0.00%,10.46MiB / 7.653GiB
1757318417,full_backend_container,1.48%,104.9MiB / 7.653GiB
1757318417,postgres_container,0.01%,36.79MiB / 7.653GiB
1757318417,full_redis_container,0.76%,9.879MiB / 7.653GiB
1757318417,elasticsearch_container,0.56%,1021MiB / 7.653GiB
1757318424,full_nginx_container,0.25%,10.52MiB / 7.653GiB
1757318424,full_backend_container,2.77%,105.1MiB / 7.653GiB
1757318424,postgres_container,3.22%,26.04MiB / 7.653GiB
1757318424,full_redis_container,0.59%,9.879MiB / 7.653GiB
1757318424,elasticsearch_container,0.95%,1021MiB / 7.653GiB
1757318432,full_nginx_container,0.00%,10.51MiB / 7.653GiB
1757318432,full_backend_container,1.53%,105.1MiB / 7.653GiB
1757318432,postgres_container,0.01%,26.07MiB / 7.653GiB
1757318432,full_redis_container,0.77%,9.879MiB / 7.653GiB
1757318432,elasticsearch_container,0.66%,1021MiB / 7.653GiB
1757318440,full_nginx_container,0.00%,10.51MiB / 7.653GiB
1757318440,full_backend_container,1.11%,105.2MiB / 7.653GiB
1757318440,postgres_container,0.00%,26.04MiB / 7.653GiB
1757318440,full_redis_container,0.65%,9.879MiB / 7.653GiB
1757318440,elasticsearch_container,1.60%,1021MiB / 7.653GiB
1757318447,full_nginx_container,0.00%,10.51MiB / 7.653GiB
1757318447,full_backend_container,1.44%,105.3MiB / 7.653GiB
1757318447,postgres_container,0.00%,26.04MiB / 7.653GiB
1757318447,full_redis_container,0.77%,10.13MiB / 7.653GiB
1757318447,elasticsearch_container,0.59%,1022MiB / 7.653GiB
1757318454,full_nginx_container,0.19%,10.52MiB / 7.653GiB
1757318454,full_backend_container,2.82%,105.5MiB / 7.653GiB
1757318454,postgres_container,0.00%,26.05MiB / 7.653GiB
1757318454,full_redis_container,0.70%,9.883MiB / 7.653GiB
1757318454,elasticsearch_container,2.35%,1022MiB / 7.653GiB
1757318462,full_nginx_container,0.00%,10.51MiB / 7.653GiB
1757318462,full_backend_container,1.67%,105.3MiB / 7.653GiB
1757318462,postgres_container,0.00%,26.08MiB / 7.653GiB
1757318462,full_redis_container,1.00%,9.883MiB / 7.653GiB
1757318462,elasticsearch_container,0.66%,1022MiB / 7.653GiB
1757318470,full_nginx_container,0.00%,10.51MiB / 7.653GiB
1757318470,full_backend_container,39.80%,105.3MiB / 7.653GiB
1757318470,postgres_container,0.00%,26.04MiB / 7.653GiB
1757318470,full_redis_container,0.54%,9.883MiB / 7.653GiB
1757318470,elasticsearch_container,0.90%,1022MiB / 7.653GiB
1757318477,full_nginx_container,0.00%,10.51MiB / 7.653GiB
1757318477,full_backend_container,1.16%,105.5MiB / 7.653GiB
1757318477,postgres_container,0.01%,26.04MiB / 7.653GiB
1757318477,full_redis_container,0.64%,9.883MiB / 7.653GiB
1757318477,elasticsearch_container,0.64%,1022MiB / 7.653GiB
1757318484,full_nginx_container,0.17%,10.57MiB / 7.653GiB
1757318484,full_backend_container,3.13%,105.5MiB / 7.653GiB
1757318484,postgres_container,0.74%,26.05MiB / 7.653GiB
1757318484,full_redis_container,0.65%,9.883MiB / 7.653GiB
1757318484,elasticsearch_container,0.59%,1022MiB / 7.653GiB
1757318492,full_nginx_container,0.00%,10.57MiB / 7.653GiB
1757318492,full_backend_container,1.94%,105.3MiB / 7.653GiB
1757318492,postgres_container,0.01%,26.07MiB / 7.653GiB
1757318492,full_redis_container,0.82%,9.883MiB / 7.653GiB
1757318492,elasticsearch_container,0.56%,1022MiB / 7.653GiB
1757318500,full_nginx_container,0.00%,10.57MiB / 7.653GiB
1757318500,full_backend_container,55.04%,143.7MiB / 7.653GiB
1757318500,postgres_container,0.00%,26.04MiB / 7.653GiB
1757318500,full_redis_container,0.45%,9.633MiB / 7.653GiB
1757318500,elasticsearch_container,0.32%,1022MiB / 7.653GiB
1757318507,full_nginx_container,0.00%,10.57MiB / 7.653GiB
1757318507,full_backend_container,0.88%,105.3MiB / 7.653GiB
1757318507,postgres_container,0.03%,26.04MiB / 7.653GiB
1757318507,full_redis_container,0.67%,9.883MiB / 7.653GiB
1757318507,elasticsearch_container,0.63%,1022MiB / 7.653GiB
1757318514,full_nginx_container,0.18%,10.58MiB / 7.653GiB
1757318514,full_backend_container,4.00%,105.3MiB / 7.653GiB
1757318514,postgres_container,0.80%,26.04MiB / 7.653GiB
1757318514,full_redis_container,0.68%,9.633MiB / 7.653GiB
1757318514,elasticsearch_container,1.78%,1022MiB / 7.653GiB
1757318522,full_nginx_container,0.00%,10.57MiB / 7.653GiB
1757318522,full_backend_container,1.45%,105.5MiB / 7.653GiB
1757318522,postgres_container,0.00%,26.05MiB / 7.653GiB
1757318522,full_redis_container,0.74%,9.633MiB / 7.653GiB
1757318522,elasticsearch_container,0.74%,1022MiB / 7.653GiB
1757318530,full_nginx_container,0.00%,10.57MiB / 7.653GiB
1757318530,full_backend_container,0.86%,105.3MiB / 7.653GiB
1757318530,postgres_container,2.65%,26.32MiB / 7.653GiB
1757318530,full_redis_container,0.62%,9.633MiB / 7.653GiB
1757318530,elasticsearch_container,0.59%,1022MiB / 7.653GiB
1757318537,full_nginx_container,0.00%,10.57MiB / 7.653GiB
1757318537,full_backend_container,1.59%,105.5MiB / 7.653GiB
1757318537,postgres_container,0.00%,26.04MiB / 7.653GiB
1757318537,full_redis_container,0.66%,9.633MiB / 7.653GiB
1757318537,elasticsearch_container,0.59%,1022MiB / 7.653GiB
