timestamp,container,cpu,mem
1757307618,proxy_nginx_container,0.00%,12.31MiB / 7.724GiB
1757307618,proxy_backend_container,2.76%,106.9MiB / 7.724GiB
1757307618,proxy_postgres_container,0.00%,109.5MiB / 7.724GiB
1757307625,proxy_nginx_container,1.86%,12.46MiB / 7.724GiB
1757307625,proxy_backend_container,45.84%,107.3MiB / 7.724GiB
1757307625,proxy_postgres_container,52.44%,102.9MiB / 7.724GiB
1757307633,proxy_nginx_container,1.71%,12.57MiB / 7.724GiB
1757307633,proxy_backend_container,38.50%,107.1MiB / 7.724GiB
1757307633,proxy_postgres_container,48.29%,122.7MiB / 7.724GiB
1757307641,proxy_nginx_container,1.55%,12.59MiB / 7.724GiB
1757307641,proxy_backend_container,36.28%,107.1MiB / 7.724GiB
1757307641,proxy_postgres_container,42.20%,113.5MiB / 7.724GiB
1757307648,proxy_nginx_container,1.51%,12.37MiB / 7.724GiB
1757307648,proxy_backend_container,37.72%,107.4MiB / 7.724GiB
1757307648,proxy_postgres_container,39.44%,118.3MiB / 7.724GiB
1757307655,proxy_nginx_container,1.38%,12.5MiB / 7.724GiB
1757307655,proxy_backend_container,32.28%,107.4MiB / 7.724GiB
1757307655,proxy_postgres_container,34.73%,118.1MiB / 7.724GiB
1757307663,proxy_nginx_container,1.57%,12.5MiB / 7.724GiB
1757307663,proxy_backend_container,28.16%,107.9MiB / 7.724GiB
1757307663,proxy_postgres_container,39.70%,62.88MiB / 7.724GiB
1757307671,proxy_nginx_container,1.34%,12.51MiB / 7.724GiB
1757307671,proxy_backend_container,34.92%,108.5MiB / 7.724GiB
1757307671,proxy_postgres_container,44.37%,67MiB / 7.724GiB
1757307677,proxy_nginx_container,1.60%,12.65MiB / 7.724GiB
1757307677,proxy_backend_container,32.20%,108.3MiB / 7.724GiB
1757307677,proxy_postgres_container,39.79%,58.2MiB / 7.724GiB
1757307685,proxy_nginx_container,1.47%,12.41MiB / 7.724GiB
1757307685,proxy_backend_container,35.88%,108.1MiB / 7.724GiB
1757307685,proxy_postgres_container,40.92%,56.2MiB / 7.724GiB
1757307693,proxy_nginx_container,1.37%,12.64MiB / 7.724GiB
1757307693,proxy_backend_container,31.40%,108.2MiB / 7.724GiB
1757307693,proxy_postgres_container,39.07%,74.09MiB / 7.724GiB
1757307700,proxy_nginx_container,1.36%,12.64MiB / 7.724GiB
1757307700,proxy_backend_container,30.31%,108.3MiB / 7.724GiB
1757307700,proxy_postgres_container,47.13%,65.04MiB / 7.724GiB
1757307708,proxy_nginx_container,1.50%,12.41MiB / 7.724GiB
1757307708,proxy_backend_container,35.78%,108.5MiB / 7.724GiB
1757307708,proxy_postgres_container,39.60%,71.61MiB / 7.724GiB
1757307715,proxy_nginx_container,1.47%,12.4MiB / 7.724GiB
1757307715,proxy_backend_container,35.14%,108.6MiB / 7.724GiB
1757307715,proxy_postgres_container,40.26%,78.15MiB / 7.724GiB
1757307723,proxy_nginx_container,1.44%,12.64MiB / 7.724GiB
1757307723,proxy_backend_container,34.83%,108.3MiB / 7.724GiB
1757307723,proxy_postgres_container,41.27%,78.35MiB / 7.724GiB
1757307731,proxy_nginx_container,1.45%,12.52MiB / 7.724GiB
1757307731,proxy_backend_container,35.48%,108.4MiB / 7.724GiB
1757307731,proxy_postgres_container,45.74%,82.93MiB / 7.724GiB
1757307738,proxy_nginx_container,1.48%,12.53MiB / 7.724GiB
1757307738,proxy_backend_container,37.77%,108.3MiB / 7.724GiB
1757307738,proxy_postgres_container,41.12%,85.04MiB / 7.724GiB
1757307745,proxy_nginx_container,1.43%,12.63MiB / 7.724GiB
1757307745,proxy_backend_container,36.66%,108.5MiB / 7.724GiB
1757307745,proxy_postgres_container,43.00%,83.12MiB / 7.724GiB
1757307753,proxy_nginx_container,1.48%,12.53MiB / 7.724GiB
1757307753,proxy_backend_container,37.95%,109MiB / 7.724GiB
1757307753,proxy_postgres_container,43.97%,82.93MiB / 7.724GiB
1757307761,proxy_nginx_container,1.49%,12.65MiB / 7.724GiB
1757307761,proxy_backend_container,37.02%,107.5MiB / 7.724GiB
1757307761,proxy_postgres_container,44.63%,96.86MiB / 7.724GiB
1757307768,proxy_nginx_container,1.43%,12.65MiB / 7.724GiB
1757307768,proxy_backend_container,31.99%,107.7MiB / 7.724GiB
1757307768,proxy_postgres_container,40.96%,89.42MiB / 7.724GiB
1757307775,proxy_nginx_container,1.41%,12.41MiB / 7.724GiB
1757307775,proxy_backend_container,35.84%,107MiB / 7.724GiB
1757307775,proxy_postgres_container,39.80%,56.23MiB / 7.724GiB
1757307783,proxy_nginx_container,1.43%,12.42MiB / 7.724GiB
1757307783,proxy_backend_container,31.47%,107MiB / 7.724GiB
1757307783,proxy_postgres_container,38.95%,58.44MiB / 7.724GiB
1757307791,proxy_nginx_container,1.47%,12.54MiB / 7.724GiB
1757307791,proxy_backend_container,35.27%,106.8MiB / 7.724GiB
1757307791,proxy_postgres_container,38.23%,60.66MiB / 7.724GiB
1757307798,proxy_nginx_container,1.36%,12.54MiB / 7.724GiB
1757307798,proxy_backend_container,34.40%,106.7MiB / 7.724GiB
1757307798,proxy_postgres_container,40.27%,69.39MiB / 7.724GiB
1757307805,proxy_nginx_container,1.44%,12.77MiB / 7.724GiB
1757307805,proxy_backend_container,35.11%,107.4MiB / 7.724GiB
1757307805,proxy_postgres_container,38.90%,73.92MiB / 7.724GiB
1757307813,proxy_nginx_container,1.41%,12.54MiB / 7.724GiB
1757307813,proxy_backend_container,33.30%,107.4MiB / 7.724GiB
1757307813,proxy_postgres_container,40.56%,74.16MiB / 7.724GiB
1757307821,proxy_nginx_container,1.36%,12.66MiB / 7.724GiB
1757307821,proxy_backend_container,34.14%,107.4MiB / 7.724GiB
1757307821,proxy_postgres_container,36.92%,80.47MiB / 7.724GiB
1757307828,proxy_nginx_container,1.45%,12.42MiB / 7.724GiB
1757307828,proxy_backend_container,30.30%,107.4MiB / 7.724GiB
1757307828,proxy_postgres_container,36.74%,80.64MiB / 7.724GiB
1757307835,proxy_nginx_container,1.54%,12.41MiB / 7.724GiB
1757307835,proxy_backend_container,34.57%,107.8MiB / 7.724GiB
1757307835,proxy_postgres_container,43.16%,89.54MiB / 7.724GiB
1757307843,proxy_nginx_container,1.40%,12.54MiB / 7.724GiB
1757307843,proxy_backend_container,31.50%,107.7MiB / 7.724GiB
1757307843,proxy_postgres_container,37.57%,89.33MiB / 7.724GiB
1757307851,proxy_nginx_container,1.47%,12.54MiB / 7.724GiB
1757307851,proxy_backend_container,36.59%,107.7MiB / 7.724GiB
1757307851,proxy_postgres_container,41.17%,94.06MiB / 7.724GiB
1757307858,proxy_nginx_container,1.38%,12.52MiB / 7.724GiB
1757307858,proxy_backend_container,37.47%,107.7MiB / 7.724GiB
1757307858,proxy_postgres_container,38.81%,100.4MiB / 7.724GiB
1757307865,proxy_nginx_container,1.56%,12.66MiB / 7.724GiB
1757307865,proxy_backend_container,37.07%,107.8MiB / 7.724GiB
1757307865,proxy_postgres_container,39.14%,115.4MiB / 7.724GiB
1757307873,proxy_nginx_container,1.47%,12.41MiB / 7.724GiB
1757307873,proxy_backend_container,34.46%,107.1MiB / 7.724GiB
1757307873,proxy_postgres_container,40.61%,49.82MiB / 7.724GiB
1757307881,proxy_nginx_container,1.60%,12.42MiB / 7.724GiB
1757307881,proxy_backend_container,37.44%,107.3MiB / 7.724GiB
1757307881,proxy_postgres_container,38.91%,71.5MiB / 7.724GiB
1757307888,proxy_nginx_container,1.51%,12.53MiB / 7.724GiB
1757307888,proxy_backend_container,35.23%,107.3MiB / 7.724GiB
1757307888,proxy_postgres_container,43.73%,58.29MiB / 7.724GiB
1757307895,proxy_nginx_container,1.40%,12.53MiB / 7.724GiB
1757307895,proxy_backend_container,35.53%,107.4MiB / 7.724GiB
1757307895,proxy_postgres_container,41.40%,60.53MiB / 7.724GiB
1757307903,proxy_nginx_container,1.56%,12.64MiB / 7.724GiB
1757307903,proxy_backend_container,33.67%,107MiB / 7.724GiB
1757307903,proxy_postgres_container,44.33%,62.54MiB / 7.724GiB
1757307911,proxy_nginx_container,1.44%,12.52MiB / 7.724GiB
1757307911,proxy_backend_container,37.05%,106.9MiB / 7.724GiB
1757307911,proxy_postgres_container,40.65%,63.16MiB / 7.724GiB
1757307918,proxy_nginx_container,1.37%,12.64MiB / 7.724GiB
1757307918,proxy_backend_container,35.36%,106.9MiB / 7.724GiB
1757307918,proxy_postgres_container,42.15%,60.56MiB / 7.724GiB
