timestamp,container,cpu,mem
1757318612,backend_container,5.51%,120.8MiB / 7.724GiB
1757318612,elasticsearch_container,0.35%,1.049GiB / 7.724GiB
1757318612,postgres_container,0.00%,130.1MiB / 7.724GiB
1757318620,backend_container,50.29%,120.3MiB / 7.724GiB
1757318620,elasticsearch_container,16.67%,1.049GiB / 7.724GiB
1757318620,postgres_container,15.95%,133.9MiB / 7.724GiB
1757318628,backend_container,45.69%,121MiB / 7.724GiB
1757318628,elasticsearch_container,13.81%,1.049GiB / 7.724GiB
1757318628,postgres_container,18.30%,135.6MiB / 7.724GiB
1757318635,backend_container,37.26%,121.3MiB / 7.724GiB
1757318635,elasticsearch_container,11.83%,1.05GiB / 7.724GiB
1757318635,postgres_container,20.90%,137.4MiB / 7.724GiB
1757318643,backend_container,43.12%,121.1MiB / 7.724GiB
1757318643,elasticsearch_container,10.99%,1.051GiB / 7.724GiB
1757318643,postgres_container,33.61%,51.97MiB / 7.724GiB
1757318651,backend_container,35.71%,121.2MiB / 7.724GiB
1757318651,elasticsearch_container,8.48%,1.051GiB / 7.724GiB
1757318651,postgres_container,11.70%,59.23MiB / 7.724GiB
1757318658,backend_container,38.61%,121.7MiB / 7.724GiB
1757318658,elasticsearch_container,10.73%,1.051GiB / 7.724GiB
1757318658,postgres_container,12.29%,75.59MiB / 7.724GiB
1757318665,backend_container,38.88%,121.2MiB / 7.724GiB
1757318665,elasticsearch_container,30.74%,1.052GiB / 7.724GiB
1757318665,postgres_container,11.70%,82.84MiB / 7.724GiB
1757318673,backend_container,33.07%,121.2MiB / 7.724GiB
1757318673,elasticsearch_container,9.56%,1.052GiB / 7.724GiB
1757318673,postgres_container,12.06%,91.14MiB / 7.724GiB
1757318681,backend_container,34.06%,121.2MiB / 7.724GiB
1757318681,elasticsearch_container,8.72%,1.052GiB / 7.724GiB
1757318681,postgres_container,15.55%,79.27MiB / 7.724GiB
1757318688,backend_container,32.55%,121.2MiB / 7.724GiB
1757318688,elasticsearch_container,13.53%,1.052GiB / 7.724GiB
1757318688,postgres_container,12.23%,97.42MiB / 7.724GiB
1757318695,backend_container,33.79%,121.3MiB / 7.724GiB
1757318695,elasticsearch_container,20.51%,1.052GiB / 7.724GiB
1757318695,postgres_container,12.59%,103MiB / 7.724GiB
1757318703,backend_container,35.75%,121.2MiB / 7.724GiB
1757318703,elasticsearch_container,9.91%,1.052GiB / 7.724GiB
1757318703,postgres_container,13.09%,110.1MiB / 7.724GiB
1757318711,backend_container,32.65%,121.1MiB / 7.724GiB
1757318711,elasticsearch_container,9.53%,1.052GiB / 7.724GiB
1757318711,postgres_container,12.35%,111.8MiB / 7.724GiB
1757318718,backend_container,36.50%,121.3MiB / 7.724GiB
1757318718,elasticsearch_container,9.61%,1.053GiB / 7.724GiB
1757318718,postgres_container,15.79%,108.2MiB / 7.724GiB
1757318725,backend_container,32.39%,121.4MiB / 7.724GiB
1757318725,elasticsearch_container,28.42%,1.052GiB / 7.724GiB
1757318725,postgres_container,12.22%,122.7MiB / 7.724GiB
1757318733,backend_container,30.59%,121.4MiB / 7.724GiB
1757318733,elasticsearch_container,9.89%,1.053GiB / 7.724GiB
1757318733,postgres_container,12.04%,130.1MiB / 7.724GiB
1757318741,backend_container,40.04%,121.7MiB / 7.724GiB
1757318741,elasticsearch_container,18.52%,1.053GiB / 7.724GiB
1757318741,postgres_container,11.74%,141MiB / 7.724GiB
1757318748,backend_container,39.06%,121.1MiB / 7.724GiB
1757318748,elasticsearch_container,11.52%,1.053GiB / 7.724GiB
1757318748,postgres_container,15.87%,139.2MiB / 7.724GiB
1757318755,backend_container,37.14%,121.6MiB / 7.724GiB
1757318755,elasticsearch_container,8.39%,1.053GiB / 7.724GiB
1757318755,postgres_container,12.54%,150MiB / 7.724GiB
1757318763,backend_container,35.37%,121.8MiB / 7.724GiB
1757318763,elasticsearch_container,19.98%,1.053GiB / 7.724GiB
1757318763,postgres_container,16.61%,146.6MiB / 7.724GiB
1757318771,backend_container,38.18%,121.8MiB / 7.724GiB
1757318771,elasticsearch_container,8.55%,1.053GiB / 7.724GiB
1757318771,postgres_container,11.95%,61.28MiB / 7.724GiB
1757318778,backend_container,40.10%,121.2MiB / 7.724GiB
1757318778,elasticsearch_container,9.57%,1.053GiB / 7.724GiB
1757318778,postgres_container,15.47%,57.64MiB / 7.724GiB
1757318785,backend_container,34.48%,121.5MiB / 7.724GiB
1757318785,elasticsearch_container,9.25%,1.053GiB / 7.724GiB
1757318785,postgres_container,21.72%,60.82MiB / 7.724GiB
1757318793,backend_container,35.96%,121.7MiB / 7.724GiB
1757318793,elasticsearch_container,9.29%,1.053GiB / 7.724GiB
1757318793,postgres_container,14.31%,65.27MiB / 7.724GiB
1757318801,backend_container,39.40%,121.4MiB / 7.724GiB
1757318801,elasticsearch_container,9.07%,1.053GiB / 7.724GiB
1757318801,postgres_container,13.12%,83MiB / 7.724GiB
1757318808,backend_container,41.88%,121.4MiB / 7.724GiB
1757318808,elasticsearch_container,16.71%,1.054GiB / 7.724GiB
1757318808,postgres_container,13.58%,91.94MiB / 7.724GiB
1757318815,backend_container,36.92%,121.8MiB / 7.724GiB
1757318815,elasticsearch_container,9.37%,1.054GiB / 7.724GiB
1757318815,postgres_container,13.82%,100.3MiB / 7.724GiB
1757318823,backend_container,40.95%,121.3MiB / 7.724GiB
1757318823,elasticsearch_container,9.82%,1.054GiB / 7.724GiB
1757318823,postgres_container,12.68%,105MiB / 7.724GiB
1757318831,backend_container,42.63%,121.5MiB / 7.724GiB
1757318831,elasticsearch_container,9.25%,1.054GiB / 7.724GiB
1757318831,postgres_container,16.09%,97.47MiB / 7.724GiB
1757318838,backend_container,37.11%,121.4MiB / 7.724GiB
1757318838,elasticsearch_container,9.31%,1.054GiB / 7.724GiB
1757318838,postgres_container,15.82%,103.1MiB / 7.724GiB
1757318845,backend_container,38.94%,121.4MiB / 7.724GiB
1757318845,elasticsearch_container,13.57%,1.055GiB / 7.724GiB
1757318845,postgres_container,22.60%,110.4MiB / 7.724GiB
1757318853,backend_container,37.22%,121.8MiB / 7.724GiB
1757318853,elasticsearch_container,9.89%,1.055GiB / 7.724GiB
1757318853,postgres_container,14.51%,119.3MiB / 7.724GiB
1757318861,backend_container,36.38%,121.1MiB / 7.724GiB
1757318861,elasticsearch_container,8.76%,1.055GiB / 7.724GiB
1757318861,postgres_container,14.32%,133.7MiB / 7.724GiB
1757318868,backend_container,34.87%,121.5MiB / 7.724GiB
1757318868,elasticsearch_container,8.98%,1.055GiB / 7.724GiB
1757318868,postgres_container,15.33%,130MiB / 7.724GiB
1757318875,backend_container,37.04%,121.4MiB / 7.724GiB
1757318875,elasticsearch_container,9.66%,1.055GiB / 7.724GiB
1757318875,postgres_container,16.26%,135.8MiB / 7.724GiB
1757318883,backend_container,37.97%,121.4MiB / 7.724GiB
1757318883,elasticsearch_container,9.27%,1.055GiB / 7.724GiB
1757318883,postgres_container,15.47%,146.3MiB / 7.724GiB
1757318891,backend_container,39.52%,121.7MiB / 7.724GiB
1757318891,elasticsearch_container,9.73%,1.056GiB / 7.724GiB
1757318891,postgres_container,13.46%,161.2MiB / 7.724GiB
1757318898,backend_container,37.59%,121.5MiB / 7.724GiB
1757318898,elasticsearch_container,9.13%,1.056GiB / 7.724GiB
1757318898,postgres_container,12.38%,71.82MiB / 7.724GiB
1757318905,backend_container,39.59%,121.5MiB / 7.724GiB
1757318905,elasticsearch_container,8.78%,1.056GiB / 7.724GiB
1757318905,postgres_container,14.36%,75.24MiB / 7.724GiB
